date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2015-03-20,US.FTNT,US.ADI,2015-03-25,False,-5.748,-6.259,0.511
2015-04-10,US.WDAY,US.ISRG,2015-04-27,False,-5.626,-1.048,-4.578
2015-04-10,US.VRSK,US.DXCM,2015-08-24,False,21.68,-1.757,23.437
2015-04-16,US.GILD,US.NFLX,2015-08-24,False,20.664,-2.245,22.91
2015-04-21,US.MELI,US.PCAR,2015-04-29,False,-0.719,4.399,-5.118
2015-04-21,US.AMZN,US.PANW,2015-05-01,False,-2.3,8.101,-10.401
2015-05-14,US.CTAS,US.ADBE,2015-05-26,False,-0.082,0.817,-0.898
2015-05-14,US.EA,US.HON,2015-05-22,False,-0.004,-0.84,0.836
2015-05-20,US.CTAS,US.ADI,2015-07-07,False,-5.0,-1.819,-3.181
2015-05-27,US.PANW,US.AVGO,2015-06-29,False,-6.605,6.972,-13.576
2015-07-07,US.AMAT,US.AEP,2015-07-14,False,-1.74,-1.461,-0.279
2015-07-07,US.QCOM,US.XEL,2015-07-14,False,-1.033,1.815,-2.848
2015-08-10,US.XEL,US.TXN,2015-08-11,False,-2.765,1.231,-3.996
2015-10-08,US.COST,US.MDLZ,2015-10-15,False,-0.732,0.073,-0.805
2015-10-09,US.XEL,US.COST,2015-11-06,False,2.325,-1.134,3.46
2015-10-14,US.AEP,US.ON,2015-10-29,False,-5.0,-3.641,-1.359
2015-11-20,US.NFLX,US.INTU,2015-11-24,False,-5.0,-0.428,-4.572
2015-12-22,US.WDAY,US.AMD,2016-01-04,False,-5.0,-1.868,-3.132
2016-02-19,US.HON,US.AMAT,2016-10-31,False,60.319,4.256,56.063
2016-02-22,US.CSCO,US.QCOM,2016-04-15,False,0.506,5.727,-5.222
2016-02-25,US.PAYX,US.CPRT,2016-03-28,False,6.117,3.893,2.224
2016-03-01,US.PCAR,US.WDAY,2016-05-27,False,5.98,6.297,-0.317
2016-03-01,US.ISRG,US.FAST,2016-05-05,False,0.339,7.669,-7.33
2016-03-03,US.EXC,US.VRSK,2016-08-03,False,4.307,11.848,-7.541
